Id;Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
HJDSJD83;2021-03-09 23:38;tf2oda_ssdmobilenetv2_320x320_pedestrian;Ssdmobnetv2_320x320;tf2oda;ssdmobilenetv2;[320, 320];pedestrian;;IntelNUC;None;0.3371881999304794;0.7431712076062851;0.24555306617212494;0.0049504950495049506;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
EJDSJD83;2021-03-08 22:31;tf2oda_ssdmobilenetv2_320x320_pedestrian_nobatch;Ssdmobnetv2_320x320_nobatch;tf2oda;ssdmobilenetv2;320x320;pedestrian;nobatch;IntelNUC;None;0.3371881999304794;0.7431712076062851;0.2455530661721249;0.0049504950495049506;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
RJDSJD83;2021-03-10 00:03;tf2oda_efficientdet_768x640_pedestrian_D2_LR08;effd2_768x640;tf2oda;efficientdet;[768, 640];pedestrian;D2_LR08;IntelNUC;None;0.5217008937259197;0.9005601953042343;0.5420101048190169;0.02178217821782178;0.5278950911576864;0.35832379349702964;0.05349592372530053;0.4219980654967528;0.5938164985491226;0.01981981981981982;0.5987360438171476;0.5426229508196723
TJDSJD83;2021-03-08 19:42;tf2oda_efficientdet_768x640_pedestrian_D2_LR08_nobatch;effd2_768x640_nobatch;tf2oda;efficientdet;768x640;pedestrian;D2_LR08_nobatch;IntelNUC;None;0.5217008937259197;0.9005601953042343;0.5420101048190169;0.02178217821782178;0.5278950911576864;0.35832379349702964;0.05349592372530053;0.4219980654967528;0.5938164985491226;0.01981981981981982;0.5987360438171476;0.5426229508196723
ZJDSJD83;2021-03-09 23:44;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTFP16;ssdmobnetv2_320x320_FP16;tf2oda;ssdmobilenetv2;320x320;pedestrian;TRTFP16;Xavier;TRTFP16;0.3371882098387203;0.7431712076062851;0.24555306617212494;0.00495049504950495;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
UJDSJD83;2021-03-09 12:05;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTFP16_nobatch;ssdmobnetv2_320x320_FP16_nb;tf2oda;ssdmobilenetv2;320x320;pedestrian;nobatch;Xavier;TRTFP16;0.3371882563590389;0.7431712076062851;0.24555306617212494;0.00495049504950495;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
IJDSJD83;2021-03-10 00:00;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTFP32;ssdmobnetv2_320x320_FP32;tf2oda;ssdmobilenetv2;320x320;pedestrian;TRTFP32;Xavier;TRTFP32;0.3371882098387203;0.7431712076062851;0.24555306617212494;0.00495049504950495;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
OJDSJD83;2021-03-09 12:24;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTFP32_nobatch;ssdmobnetv2_320x320_FP32_nb;tf2oda;ssdmobilenetv2;320x320;pedestrian;nobatch;Xavier;TRTFP32;0.3371882098387203;0.7431712076062851;0.24555306617212494;0.00495049504950495;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
KJDSJD83;2021-03-10 00:17;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTINT8;ssdmobnetv2_320x320_INT8;tf2oda;ssdmobilenetv2;320x320;pedestrian;TRTINT8;Xavier;TRTINT8;0.3371882563590389;0.7431712076062851;0.24555306617212494;0.00495049504950495;0.3379270453387315;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.4528333684432274;0.5065573770491804
LJDSJD83;2021-03-09 12:54;tf2oda_ssdmobilenetv2_320x320_pedestrian_TRTINT8_nobatch;ssdmobnetv2_320x320_INT8_nb;tf2oda;ssdmobilenetv2;320x320;pedestrian;nobatch;Xavier;TRTINT8;0.33718825635903893;0.7431712076062851;0.24555306617212497;0.0049504950495049506;0.33792705172232357;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.45283336844322736;0.5065573770491804
MJDSJD83;2021-03-10 00:31;tf2oda_ssdmobilenetv2_320x320_pedestrian;ssdmobnetv2_320x320;tf2oda;ssdmobilenetv2;320x320;pedestrian;;Xavier;;0.3371882098387203;0.7431712076062851;0.24555306617212497;0.0049504950495049506;0.33792704533873147;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.45283336844322736;0.5065573770491804
BJDSJD83;2021-03-09 13:15;tf2oda_ssdmobilenetv2_320x320_pedestrian_nobatch;ssdmobnetv2_320x320_nb;tf2oda;ssdmobilenetv2;320x320;pedestrian;nobatch;Xavier;;0.33718825635903893;0.7431712076062851;0.24555306617212497;0.0049504950495049506;0.33792704533873147;0.3587053956754707;0.041757634378886285;0.33983694901202155;0.4498480033162912;0.0045045045045045045;0.45283336844322736;0.5065573770491804
